城市,面积,房龄,楼层,总楼层,距离CBD距离,距离地铁距离,周边学校数量,周边医院数量,人均GDP,人口密度,房屋类型,装修情况,单价,总价
湛江,109.2,7.4,22,26,32.34,0.52,3,2,82784,584,公寓,简装,3351,365792
揭阳,74.8,7.8,1,5,2.76,2.67,2,0,85579,1167,住宅,简装,7656,572641
阳江,138.8,5.5,2,8,17.82,1.04,4,0,46293,970,住宅,毛坯,5884,816632
惠州,77.5,2.1,9,15,1.08,1.46,2,4,59704,1168,别墅,精装,31424,2436955
肇庆,145.2,5.0,8,29,12.39,6.32,2,1,88380,1275,住宅,精装,10052,1459359
云浮,79.0,1.3,5,24,39.26,1.55,3,1,51857,951,公寓,毛坯,3000,236948
湛江,62.9,3.6,21,22,41.46,1.61,3,5,62205,668,公寓,精装,3000,188646
潮州,112.1,2.9,9,23,7.74,0.38,5,5,91991,100,住宅,简装,6123,686119
惠州,110.2,4.5,13,26,31.32,0.65,1,0,81079,303,住宅,精装,7960,877529
惠州,78.1,5.3,18,32,61.73,0.55,1,1,67968,683,住宅,豪装,3000,234365
云浮,108.1,2.9,20,23,11.23,1.11,3,2,103812,1063,住宅,简装,7331,792541
汕头,83.3,2.4,10,32,2.21,1.53,1,4,79696,835,住宅,精装,11571,963384
肇庆,94.2,1.3,20,31,15.82,3.33,4,0,61334,939,公寓,毛坯,7149,673360
珠海,104.8,2.3,8,28,26.16,1.37,2,3,76665,790,住宅,毛坯,15986,1674647
云浮,118.8,13.0,3,26,0.54,1.42,6,3,104555,560,住宅,精装,7747,920323
深圳,74.5,29.8,15,32,0.16,0.59,1,3,94190,778,住宅,简装,43444,3236256
梅州,96.2,7.7,2,12,0.67,0.23,2,2,96589,894,住宅,简装,8244,793394
韶关,58.6,16.9,12,20,11.78,2.02,4,0,102709,1137,住宅,精装,6194,363176
深圳,78.8,9.2,20,30,50.34,1.34,2,3,86281,1100,住宅,毛坯,3000,236386
云浮,134.8,10.8,3,3,4.88,0.43,6,2,84940,869,公寓,毛坯,5956,802895
广州,119.8,9.1,16,34,27.67,1.27,2,2,95956,918,住宅,毛坯,19519,2338685
梅州,82.5,4.1,7,10,10.7,2.57,1,1,56384,1553,住宅,毛坯,5235,432003
梅州,127.7,1.3,24,33,18.45,3.11,2,2,51580,944,公寓,豪装,4544,580334
东莞,100.7,4.4,4,23,23.1,0.25,4,1,91535,842,住宅,豪装,18513,1864273
茂名,81.0,16.5,29,33,9.84,1.14,3,3,48105,717,公寓,简装,4374,354379
清远,66.4,12.4,10,25,6.96,1.12,2,1,60927,1115,住宅,简装,8901,590857
阳江,89.9,2.2,24,34,49.61,1.64,1,1,82219,1038,住宅,精装,3000,269808
阳江,109.0,7.5,25,33,0.33,2.55,1,3,79287,1103,公寓,精装,6382,695680
潮州,54.9,15.0,10,30,2.28,2.18,1,3,91031,709,住宅,豪装,8158,447623
梅州,94.6,3.3,21,24,11.81,2.84,1,0,109147,507,住宅,豪装,6977,660013
揭阳,142.5,6.5,2,26,1.48,0.84,3,2,87597,392,住宅,毛坯,6593,939411
珠海,133.1,2.6,8,30,15.44,0.44,4,3,65853,1563,住宅,简装,33428,4449993
佛山,118.5,3.0,30,32,32.11,3.26,6,2,91353,809,住宅,精装,9710,1150285
潮州,70.8,15.6,20,25,11.67,2.48,4,3,91928,1052,住宅,简装,6053,428855
湛江,83.2,4.8,26,34,8.58,1.72,4,1,61551,523,住宅,豪装,9256,770555
云浮,121.0,1.9,15,17,21.61,1.05,4,3,72438,686,住宅,简装,4211,509703
江门,66.4,4.3,14,33,0.27,1.09,0,1,73927,962,公寓,豪装,19861,1319714
湛江,125.1,7.9,25,27,30.92,0.24,2,1,121137,234,住宅,简装,3574,447157
中山,126.5,0.4,4,31,28.68,2.2,3,2,62720,821,住宅,精装,13066,1652991
汕头,67.2,0.8,29,29,16.59,3.54,4,4,84767,1283,住宅,精装,9361,628908
河源,97.3,0.9,22,33,10.03,2.11,5,1,47960,616,住宅,简装,6025,586067
中山,52.8,7.5,13,32,3.48,1.45,0,0,78337,707,公寓,精装,16225,856881
江门,40.0,21.5,9,32,1.37,1.92,1,5,82300,587,住宅,简装,9422,376908
云浮,103.0,7.5,16,16,26.04,6.2,1,1,90174,1283,住宅,简装,3000,309041
深圳,40.0,1.0,28,31,34.59,1.04,4,3,65616,935,公寓,精装,20632,825282
揭阳,111.8,6.1,11,11,1.32,1.02,5,2,98350,824,公寓,精装,7381,824962
阳江,78.1,4.8,12,26,21.37,0.21,1,1,53427,973,住宅,毛坯,3456,270087
湛江,82.9,11.5,15,34,6.23,1.46,1,3,82588,832,公寓,精装,9142,757667
梅州,66.9,1.5,18,22,3.89,7.58,2,2,82837,317,住宅,简装,3651,244140
肇庆,96.4,3.7,28,32,9.64,1.17,2,1,78982,1589,住宅,简装,10195,982692
阳江,82.0,14.0,13,31,2.93,1.42,4,2,100398,643,公寓,精装,8285,679463
珠海,63.5,12.6,19,23,19.69,0.32,4,2,55979,596,住宅,简装,15685,996723
河源,95.6,0.8,20,25,13.33,0.94,2,2,93074,1116,别墅,简装,11399,1089407
东莞,110.6,6.8,13,15,3.36,0.23,4,3,92904,1387,公寓,精装,31551,3490619
汕头,82.7,3.6,2,25,19.81,1.5,4,0,65058,762,住宅,毛坯,5524,456874
中山,109.0,17.3,3,4,1.65,1.02,3,2,89719,1317,住宅,毛坯,19533,2129204
肇庆,106.7,1.0,2,17,9.76,0.31,4,1,95858,1145,住宅,简装,14342,1530586
汕头,139.4,1.7,23,29,30.25,1.21,5,1,70428,497,公寓,精装,4688,653770
深圳,61.3,17.1,24,25,19.19,0.63,1,2,73515,1065,住宅,简装,36336,2227722
韶关,109.4,0.7,28,30,26.29,0.28,6,2,76522,823,公寓,精装,4746,519183
茂名,69.7,2.3,11,23,3.03,0.65,3,3,88209,100,公寓,简装,6011,419180
汕头,103.6,11.8,9,15,21.89,1.08,4,2,63323,333,住宅,精装,5706,591395
中山,68.9,8.3,21,32,18.73,0.44,3,0,102508,276,公寓,毛坯,9683,667296
梅州,49.2,0.2,4,17,8.01,1.36,3,4,57323,1014,住宅,豪装,9328,459351
深圳,115.2,1.0,6,12,0.27,0.69,4,4,91836,852,公寓,简装,86081,9915396
茂名,47.0,0.5,9,10,13.87,1.28,1,3,63430,1187,住宅,精装,8712,409269
汕头,114.9,7.7,25,34,28.18,0.76,4,4,62675,588,住宅,精装,4922,565524
河源,94.9,2.1,24,29,8.06,0.72,8,3,95460,890,住宅,豪装,12274,1164270
清远,40.0,8.6,9,24,15.18,1.38,3,2,91964,553,住宅,简装,7264,290589
阳江,126.5,11.9,4,18,3.96,1.23,8,1,73644,653,住宅,精装,9984,1263069
肇庆,69.7,4.1,12,24,0.01,4.63,4,2,63638,288,住宅,豪装,10476,729782
河源,132.3,4.3,1,1,3.19,5.01,2,0,41676,677,别墅,精装,8989,1189695
肇庆,154.3,5.8,26,28,4.98,0.87,7,1,48715,1066,住宅,毛坯,11313,1745555
云浮,40.0,13.3,8,11,17.74,2.95,3,1,83978,1007,住宅,豪装,3460,138421
清远,73.1,2.9,3,34,0.02,2.61,5,1,59536,1059,住宅,简装,10755,785716
汕尾,138.8,8.7,27,33,11.8,2.47,4,2,45597,1091,住宅,精装,7297,1012888
中山,40.0,21.6,24,25,17.92,2.51,6,1,83141,931,公寓,精装,10917,436715
阳江,94.8,3.8,15,18,23.14,2.65,1,1,93374,344,公寓,精装,3680,349058
云浮,110.0,0.4,1,5,19.01,3.97,3,0,80995,464,公寓,精装,3099,341049
汕尾,75.5,7.8,3,20,26.83,4.73,0,1,95441,267,住宅,简装,3000,226554
江门,49.3,10.6,14,18,1.06,3.06,3,0,102253,962,住宅,精装,15267,753115
阳江,59.4,4.3,22,34,1.6,0.65,3,1,90419,1254,公寓,简装,8631,513045
汕尾,61.8,2.5,10,11,9.9,0.63,4,0,46775,774,住宅,精装,6972,430538
广州,140.0,2.5,2,23,50.29,0.58,4,3,104955,965,住宅,精装,3000,419872
湛江,126.4,4.2,17,29,13.12,0.58,4,2,103391,792,住宅,精装,10828,1368875
江门,91.1,2.4,29,31,19.28,0.02,4,0,96520,888,公寓,毛坯,9811,893356
广州,71.5,2.5,16,17,0.97,1.23,3,6,66189,1225,公寓,精装,59983,4288060
梅州,89.4,20.3,6,16,11.59,0.63,5,2,67608,1397,公寓,毛坯,4104,367161
肇庆,78.5,4.7,25,28,13.38,1.05,1,1,97191,1021,住宅,精装,11566,908149
惠州,120.7,14.0,19,21,24.59,0.02,4,0,99155,833,住宅,精装,12302,1484671
潮州,112.1,3.7,26,32,3.96,0.77,3,3,104650,100,住宅,简装,5319,596179
东莞,40.0,10.2,20,34,10.08,1.12,5,2,58686,1135,住宅,简装,24961,998463
肇庆,68.1,2.2,19,24,3.72,6.43,4,2,69805,100,公寓,精装,5781,393425
珠海,64.6,7.4,29,33,8.67,7.87,2,7,81713,721,公寓,精装,17669,1141121
珠海,122.5,11.2,29,29,31.09,0.45,1,3,101467,702,住宅,精装,14152,1733162
广州,54.9,10.9,15,34,15.68,0.15,5,1,78256,612,住宅,简装,31631,1735166
佛山,121.9,9.9,27,32,3.68,2.17,1,3,105497,937,公寓,精装,27648,3370692
